"Drinks","GPA","Greek","Gender"
NA,3.8,0,1
5,3,0,1
10,3.5,0,1
0,4,0,0
9,3.7,1,1
0,4,0,1
15,3.359,1,1
12,3.47,1,0
0,3,0,1
0,3.6,0,1
25,3.8,0,1
10,3.6,1,1
0,4,0,1
17.5,3.9,1,1
1,3.85,0,1
10,3.705,1,1
0,3.71,0,0
0,4,1,1
0,3.7,1,1
2.5,3.68,1,1
0,3.836,1,1
30,3.4,1,1
30,3.8,1,0
6,3.97,1,1
0,NA,1,1
6,3.64,1,1
0,3.65,0,1
0,3.4,0,1
0,3.8,0,0
2,3.7,0,1
3,4,0,1
15,3.89,1,1
0,3.32,0,1
10,3.545,1,1
0,3.6,0,1
40,3.77,1,0
10,3.5,1,1
5,3.64,1,1
40,3,0,0
NA,3.4,1,0
30,3.3,1,0
3.5,3.85,0,1
2,3.7,1,1
4,3.965,1,1
2,3.891,1,1
8,3.43,1,1
0,2.9,0,1
4,3.738,0,1
10,3.7,0,0
3,3.5,0,1
3,3.4,1,1
5,3.2,1,1
8,3.9,1,1
0,4,0,1
2,3.8,0,0
7,3.2,0,1
8,3.8,1,1
4,3.1,1,1
0.5,3.93,1,1
0,3.36,1,1
2,3.89,1,1
7,3.4,1,0
12,3.6,1,1
